"","c1_humans.v1","c1_humans.v2","c1_nonwh","c1_nonmale","c1_whmale","c1_disab","c1_nonwest","c1_landurban","c1_landcult","c1_natres","c1_ag","c1_restore","c1_recnoext","c1_recext","c1_animalnonext","c1_animalext","c1_logo"
"334",4,4,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0
"335",4,4,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"336",3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"337",4,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
"338",4,4,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0
"339",4,4,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
"340",4,4,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0
"341",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",4,4,0,0,0,0,0,0,1,0,4,0,0,0,1,3,0
"344",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
"346",4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,4,NA
"347",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"348",4,0,0,0,0,0,0,NA,4,0,0,0,0,0,0,0,0
"349",3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0
"350",4,4,4,0,0,0,1,0,0,3,0,0,0,0,0,3,0
"351",4,4,4,4,0,0,3,0,0,4,0,0,0,0,1,3,0
"352",4,4,0,4,3,0,0,0,3,0,1,0,0,0,0,0,0
"353",3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"354",4,4,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0
"355",4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0
"356",4,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"357",4,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
"358",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360",3,3,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0
"361",4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"362",4,4,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"363",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"366",4,4,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0
"367",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",4,4,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0
